A1,A2,A3,B1,B2,B3,B4,B5,C1,C2,C3,C4,C5,D1,D2,D3,D4,D5,E1,E2,E3,E4,E5,F1,F2,F3,F4,F5,population,gdp
36.186438,274.3149327,34.8544366,7335.504718,1401.862515,444.081952,1632.971936,3462.068082,25.0005,1316.680551,14.364,4.105640862,38.11128628,19.621821,81.64117376,18.753,8.968301883,405.5945404,36.19040664,500.9075609,108.262,23.84272501,478.8429333,10530.18989,172.9506737,373.73,1669.89,3731.81,7869.34,41383.87
40.243662,313.0540786,40.56928604,7818.715231,1256.522734,520.76508,1701.048849,3841.644695,2.28576,1382.876347,57.722,2.706858568,49.1477052,18.186078,109.8192368,24.339,6.659731398,461.8212849,17.52433212,545.1738372,123.424,17.31461964,501.690041,13115.3746,140.7411863,520.163,1727.73,4218.09,8022.99,45952.65
38.722203,363.5736567,46.65283545,7510.450487,1435.901102,677.50758,1747.245152,4080.377922,2.064327,1502.702633,54.53,0.797940168,58.05795433,0,144.331749,23.94,4.774001002,517.7653595,12.71031673,634.8909223,136.724,11.53398642,576.2288838,13610.82418,214.5505402,611.667,1764.35,4493.99,8119.81,50660.2
36.650733,272.1869508,53.33859479,7956.967996,1337.251216,769.111856,1856.944193,4405.26404,2.792913,1613.154429,61.845,1.651122347,64.22753373,15.26797,112.7897232,26.467,6.783855424,576.9048337,9.167408,575.2253085,195.643,17.51001268,672.3612544,13202.62659,183.972589,601.825,1882.89,4822.18,8192.44,55580.11
36.179295,290.2484352,57.29597441,8358.123365,1436.427774,820.217212,1802.467385,4573.723054,1.757178,1743.091037,99.484,1.207822254,70.33566314,8.921607,92.76182415,25.137,5.28822911,596.2124218,7.760732,628.3680643,210.14,15.52982526,610.6531704,12130.49383,235.1803896,543.30584,1824.49,4725.06,8281.09,60359.43
36.050721,328.7883974,64.5347837,8383.945964,1440.568871,923.650072,1846.360233,4614.14486,1.835751,1791.986113,147.695032,0.685751144,77.08287248,5.935558,76.34484921,34.713,3.578454751,636.2532379,4.471518,656.1026736,239.932,15.26793721,650.3867365,12426.86887,182.2135506,847.593216,1865.89,4869.85,8315.11,65552
35.022129,322.4017997,76.03822258,8417.763555,1512.376403,956.629024,1982.907232,4825.176429,1.557174,1840.165605,155.333904,0.356686075,86.17747159,3.807219,50.0883853,26.733,0.437503092,713.8768703,0,658.4459111,280.231,6.214385305,761.4145857,12992.04238,204.875628,876.79566,1989.92,5164.95,8381.47,70665.70683
34.636407,323.777331,82.07261199,8262.625752,1350.399403,1020.411684,2118.215038,5049.358297,0.728586,1925.437628,159.233624,0.304854064,102.25279,4.085796,35.59605933,15.694,0.418407088,805.4496514,0,715.4774394,300.314,5.834511225,841.0169079,12759.39217,163.32142,1663.340404,2124.77,5286.40,8423.5,75752.20149
33.664959,335.8662931,88.46341137,7931.340577,1351.660408,1304.998228,2248.05252,5247.227278,0.721443,2029.093586,182.967916,0.326337069,111.5440291,3.057204,33.70809915,8.645,0.975260205,929.7506993,0,741.3344458,353.913,6.52571837,931.9137391,12683.30281,221.1755198,1819.159696,2255.88,5346.75,8446.19,80827.71193
32.379219,312.0309324,94.16597081,8829.807877,1290.055509,1377.007736,2252.102578,5318.398661,0.364293,2098.048564,264.333296,0.19164204,119.9872583,2.271474,34.34108521,9.31,0.898535189,992.6386231,0,716.8985998,402.857,7.439257562,943.2328279,12204.49949,280.588403,1774.451172,2260.63,5261.69,8469.09,85556.13387
31.757778,293.3230609,98.70098037,8291.34458,1225.654599,1666.361656,2234.250201,5400.852263,0.228576,2156.130667,205.964708,0.298034063,121.8430481,0,11.24845702,11.438,0.662904139,999.8036924,0,735.8052869,455.126,9.300094953,980.3732043,11969.33816,277.7421186,1368.522232,2244.51,5217.57,8477.26,88683.21463
